IN,PHY_P1,CHEM_P1,MAT_P1,OVERALL_P1,TM_P1,TQ_P1,MCQ_P1,MMCQ_P1,NUM_P1,PARA_P1,MTF_P1,PHY_P2,CHEM_P2,MAT_P2,OVERALL_P2,TM_P2,TQ_P2,MCQ_P2,MMCQ_P2,NUM_P2,PARA_P2,MTF_P2,EASY_P,MED_P,HARD_P,EASY_C,MED_C,HARD_C,EASY_M,MED_M,HARD_M,OUT
140,0.35,0.48,0.36,0.396667,180,54,0,0.4,0.4,0.2,0,0.418,0.46,0.42,0.2596,180,54,0,0.4,0.4,0,0.2,0.366667,0.358333,0.275,0.133333,0.366667,0.5,0.333333,0.3,0.366667,7901
139,0.35,0.48,0.36,0.396667,180,54,0,0.4,0.4,0.2,0,0.418,0.46,0.42,0.2596,180,54,0,0.4,0.4,0,0.2,0.366667,0.358333,0.275,0.133333,0.366667,0.5,0.333333,0.3,0.366667,8001
139,0.35,0.48,0.36,0.396667,180,54,0,0.4,0.4,0.2,0,0.418,0.46,0.42,0.2596,180,54,0,0.4,0.4,0,0.2,0.366667,0.358333,0.275,0.133333,0.366667,0.5,0.333333,0.3,0.366667,8101
138,0.35,0.48,0.36,0.396667,180,54,0,0.4,0.4,0.2,0,0.418,0.46,0.42,0.2596,180,54,0,0.4,0.4,0,0.2,0.366667,0.358333,0.275,0.133333,0.366667,0.5,0.333333,0.3,0.366667,8201
138,0.35,0.48,0.36,0.396667,180,54,0,0.4,0.4,0.2,0,0.418,0.46,0.42,0.2596,180,54,0,0.4,0.4,0,0.2,0.366667,0.358333,0.275,0.133333,0.366667,0.5,0.333333,0.3,0.366667,8301
137,0.35,0.48,0.36,0.396667,180,54,0,0.4,0.4,0.2,0,0.418,0.46,0.42,0.2596,180,54,0,0.4,0.4,0,0.2,0.366667,0.358333,0.275,0.133333,0.366667,0.5,0.333333,0.3,0.366667,8401
137,0.35,0.48,0.36,0.396667,180,54,0,0.4,0.4,0.2,0,0.418,0.46,0.42,0.2596,180,54,0,0.4,0.4,0,0.2,0.366667,0.358333,0.275,0.133333,0.366667,0.5,0.333333,0.3,0.366667,8501
136,0.35,0.48,0.36,0.396667,180,54,0,0.4,0.4,0.2,0,0.418,0.46,0.42,0.2596,180,54,0,0.4,0.4,0,0.2,0.366667,0.358333,0.275,0.133333,0.366667,0.5,0.333333,0.3,0.366667,8601
136,0.35,0.48,0.36,0.396667,180,54,0,0.4,0.4,0.2,0,0.418,0.46,0.42,0.2596,180,54,0,0.4,0.4,0,0.2,0.366667,0.358333,0.275,0.133333,0.366667,0.5,0.333333,0.3,0.366667,8701
135,0.35,0.48,0.36,0.396667,180,54,0,0.4,0.4,0.2,0,0.418,0.46,0.42,0.2596,180,54,0,0.4,0.4,0,0.2,0.366667,0.358333,0.275,0.133333,0.366667,0.5,0.333333,0.3,0.366667,8801
135,0.35,0.48,0.36,0.396667,180,54,0,0.4,0.4,0.2,0,0.418,0.46,0.42,0.2596,180,54,0,0.4,0.4,0,0.2,0.366667,0.358333,0.275,0.133333,0.366667,0.5,0.333333,0.3,0.366667,8901
